"","specie","sum_specie","kefir_type","...2"
"1","t__SGB1187","37","milk","Acetobacter_orientalis"
"2","t__SGB1190","92","milk","Acetobacter_fabarum"
"3","t__SGB12106","22","milk","Pseudomonas_fragi_subspecies 1"
"4","t__SGB7046","185","milk","Lactobacillus_kefiranofaciens"
"5","t__SGB7048","155","milk","Lactobacillus_helveticus"
"6","t__SGB7126","56","milk","Leuconostoc_mesenteroides"
"7","t__SGB7221","187","milk","Lentilactobacillus_kefiri"
"8","t__SGB7984","43","milk","Lactococcus_lactis subcluster 1"
"9","t__SGB7985","64","milk","Lactococcus_lactis subcluster 2"
"10","t__SGB7989","27","milk","Lactococcus_raffinolactis"
