kefir_type	classification	n_detections	median_snv	p25_snv	p75_snv	median_nucl_div	p25_nucl_div	p75_nucl_div
Milk kefir	Lactobacillus kefiranofaciens	331	4337	955.5	8819	0.0022866022512663	0.00189281233655325	0.0028081765914807003
Milk kefir	Lactobacillus helveticus	240	3218	2020.75	4707.75	0.0019497494521973002	0.001455900198018075	0.00228397919138725
Milk kefir	NA	206	2592	1164.75	3810.75	0.0018790722600059	0.00145570436236735	0.002199579413600025
Milk kefir	Pseudomonas helleri	16	1956.5	557	6449.25	0.0018618144361837998	9.86077448837025e-4	0.004346915539813775
Milk kefir	Klebsiella grimontii	28	1799.5	361.25	2622.25	0.00142368781395875	8.58557011538725e-4	0.0018121055398071
Milk kefir	Lactococcus lactis	258	1291	818.5	2194	0.001340152124582	0.0010952586312885251	0.0017817236018376
Milk kefir	Lactococcus cremoris	161	1222	708	1827	0.0015739531144056	0.001269145308164	0.0019293030730416
Milk kefir	Streptococcus thermophilus	36	1029	398.5	3135.25	0.0018977258669258998	0.0015840558396096498	0.00287746800318325
Milk kefir	Lactococcus piscium	10	636	482.25	4006	5.2657731319705e-4	4.880040871153e-4	0.0019068469278084752
Milk kefir	Thermus parvatiensis	17	349	137	821	0.0019399622964701	0.0015925351124513	0.0025822119694541
Milk kefir	Acetobacter orientalis	18	195.5	78	637.5	0.0013711126627274002	0.001238380250894225	0.0018571567729201502
Water kefir	Acinetobacter johnsonii	11	15015	3747	28032	0.0022263351504628	0.0013145871804810501	0.0041513538086127
Water kefir	Agrobacterium pusense	14	5199	1014	8982.25	0.0012223044729801	0.00103798877410375	0.001449684821331
Water kefir	Rahnella aquatilis	12	4862	459.25	13673.75	0.00155346249092555	0.001364074466133425	0.0032581632156871753
Water kefir	Lacticaseibacillus paracasei	196	2068.5	795.25	8438.5	0.0015895010880018	9.501820211278e-4	0.00204031498692365
Water kefir	Acinetobacter ursingii	11	1697	913	7391.5	0.0015465550837282	8.636096300571501e-4	0.00179716653382345
Water kefir	Lactococcus lactis	41	1263	911	1566	0.0013785412204786	9.615763218318e-4	0.0015765447114709
Water kefir	Liquorilactobacillus ghanensis	147	1126	232	4908	0.0015245173267519	0.00102694601837605	0.0019133615966943499
Water kefir	Gluconobacter albidus	43	949	354.5	1343	8.113502578053e-4	6.176095911672e-4	0.0012770780900901498
Water kefir	Acetobacter indonesiensis	19	580	84.5	3036.5	0.0017874870184527	0.00154323307353455	0.00253204890843385
Water kefir	Gluconobacter cerinus	111	545	174	1095.5	7.07696464444e-4	5.3377560072855e-4	0.0010541284429724002
Water kefir	Bifidobacterium psychraerophilum	41	268	158	395	7.96505573131e-4	6.831036474191e-4	8.984768095721e-4
Water kefir	Acetobacter malorum	38	261	69.5	929.25	9.274795045273e-4	6.651615519980501e-4	0.00141215487300075
Water kefir	NA	179	232	30	1269	6.948058953009e-4	5.533418198539501e-4	0.0011282035244478
Water kefir	Oenococcus oeni	53	215	37	498	9.329976916161e-4	5.296116196165e-4	0.0011051675702477
Water kefir	Bifidobacterium aquikefiri	139	201	120.5	389.5	8.227442498993e-4	5.436103126985499e-4	0.0017501351755927499
Water kefir	Acetobacter persici	66	182	52	426.5	5.643372842548001e-4	4.99633079151025e-4	8.20776446456425e-4
Water kefir	Komagataeibacter hansenii	73	144	29	809	6.774217411831e-4	5.723639261817e-4	0.0011343415470011
